state,year,deaths,pop,rate_per_million,log_pop
MT,2019,6,1070123,5.60683211182266,13.883284153102496
MT,2020,10,1087230,9.19768586223706,13.899143735257352
MT,2021,7,1106522,6.326128174586678,13.916732320788013
MT,2022,7,1122095,6.238330979106047,13.930708031712186
MT,2023,7,1131302,6.187560881179384,13.938879739790659
MT,2024,11,1137233,9.672600074039357,13.944108676980228
NC,2015,23,10037218,2.2914716009954152,16.121810542197412
NC,2016,32,10161802,3.14904777715606,16.13414634659252
NC,2017,22,10275758,2.140961279936721,16.145298086915144
NC,2018,25,10391358,2.4058453187735425,16.15648505713322
NC,2019,33,10501384,3.1424429389497615,16.16701761596545
NC,2020,34,10449652,3.253696869522545,16.162079234385182
NC,2021,27,10564320,2.5557726384660824,16.17299284349661
NC,2022,32,10710793,2.987640597666298,16.1867624826334
NC,2023,41,10881189,3.76797057748009,16.202546076509343
NC,2024,41,11046024,3.7117427954167037,16.21758110217312
ND,2015,1,755537,1.323561916888253,13.535184033685013
ND,2016,1,756114,1.3225518903234168,13.535947437444245
ND,2017,3,756755,3.9642949171132003,13.536794834063988
ND,2018,4,760062,5.262728566880071,13.541155287882502
ND,2019,0,763724,0,13.54596174633529
ND,2020,3,779563,3.848309886436375,13.566488785253252
ND,2021,3,777966,3.8562096544064906,13.564438100406091
ND,2022,3,781057,3.8409488680083532,13.56840340951334
ND,2023,2,789047,2.5347032559530676,13.578581167128622
ND,2024,7,796568,8.787699229695393,13.588067778197232
NE,2015,8,1892059,4.228197957886091,14.453176212040098
NE,2016,7,1906483,3.6716823596119137,14.460770741376638
NE,2017,0,1916998,0,14.46627097873042
NE,2018,1,1925512,0.5193423878947521,14.470702464365175
NE,2019,6,1932571,3.104672480338368,14.474361798742944
NE,2020,4,1963387,2.0372957547340387,14.490181601051276
NE,2021,10,1964537,5.0902579080974295,14.490767152112273
NE,2022,4,1972246,2.0281445620880967,14.49468355281483
NE,2023,5,1987864,2.5152626135389546,14.502571253395777
NE,2024,4,2005465,1.9945498924189653,14.511386512032976
NH,2015,3,1337480,2.243024194754314,14.10629780436947
NH,2016,2,1343694,1.4884341226499487,14.110933095571102
NH,2017,3,1350395,2.2215722066506465,14.11590770021034
NH,2018,2,1355064,1.4759450476139873,14.119359243652845
NH,2019,2,1360783,1.4697420529210021,14.123570827334374
NH,2020,4,1378756,2.901165978606802,14.136692201308286
NH,2021,2,1387677,1.4412575837172483,14.143141684034244
NH,2022,4,1396678,2.8639385742454597,14.14960711775576
NH,2023,4,1402199,2.8526621399672942,14.153552276589723
