id,state,year,age_group,gender,race,whether_mental_ill,armed,flee,body_camera_binary
403,OK,2015,60+,male,W,no,yes,yes,0
412,CO,2015,18–29,male,B,no,yes,yes,1
408,TX,2015,18–29,male,W,yes,yes,no,1
411,NY,2015,18–29,male,B,yes,no,yes,0
414,FL,2015,45–59,male,W,yes,yes,no,0
404,OK,2015,18–29,male,W,no,no,no,0
406,CA,2015,60+,male,W,no,yes,no,0
407,CA,2015,45–59,male,W,no,yes,no,0
405,MI,2015,18–29,male,B,no,yes,no,0
413,OH,2015,45–59,male,W,no,yes,no,0
417,LA,2015,18–29,male,B,no,yes,no,1
420,IL,2015,18–29,male,W,yes,yes,no,0
415,OK,2015,18–29,male,W,no,yes,yes,0
416,AZ,2015,30–44,male,H,yes,yes,no,0
419,CA,2015,18–29,male,H,no,yes,no,0
421,GA,2015,18–29,female,B,no,yes,no,0
422,VA,2015,45–59,male,B,yes,yes,no,0
423,TN,2015,45–59,male,W,yes,yes,no,0
418,CA,2015,30–44,male,O,yes,no,no,1
424,TX,2015,18–29,male,H,no,yes,no,0
425,DE,2015,45–59,male,W,no,yes,no,1
426,UT,2015,30–44,male,W,yes,yes,no,1
427,TX,2015,30–44,male,B,no,yes,no,0
428,TX,2015,30–44,male,O,no,yes,no,0
445,NM,2015,30–44,male,H,no,yes,no,0
447,KY,2015,45–59,male,W,no,yes,no,0
431,WA,2015,30–44,male,W,yes,no,no,0
6916,TX,2015,30–44,male,H,no,yes,no,0
429,CA,2015,18–29,male,B,no,no,no,1
430,CA,2015,30–44,male,A,no,yes,no,0
434,VA,2015,45–59,male,W,yes,yes,no,0
432,NC,2015,18–29,male,W,no,yes,yes,0
433,GA,2015,60+,male,Unknown,yes,yes,no,0
435,NY,2015,30–44,male,W,no,yes,yes,0
436,CA,2015,18–29,male,B,no,Unknown,yes,0
439,AZ,2015,30–44,male,W,no,yes,no,0
443,NY,2015,45–59,male,W,yes,yes,no,0
451,LA,2015,45–59,male,B,no,yes,no,0
454,MN,2015,30–44,male,B,no,Unknown,yes,0
453,WA,2015,45–59,male,W,no,yes,no,0
455,MD,2015,30–44,male,B,no,Unknown,yes,0
437,TX,2015,30–44,male,B,no,Unknown,yes,0
444,FL,2015,18–29,male,W,yes,yes,no,0
441,FL,2015,18–29,male,B,no,yes,yes,0
449,HI,2015,45–59,male,A,no,yes,no,0
450,CA,2015,30–44,male,W,yes,yes,no,0
456,MI,2015,30–44,male,W,yes,yes,yes,0
470,FL,2015,45–59,male,W,yes,yes,no,0
460,IL,2015,30–44,male,W,yes,yes,no,0
462,CA,2015,30–44,male,W,yes,no,no,0
463,IL,2015,45–59,male,B,no,yes,yes,0
458,CA,2015,30–44,male,W,yes,yes,yes,1
459,FL,2015,18–29,male,W,yes,yes,no,0
461,NM,2015,18–29,male,W,no,yes,no,0
457,VA,2015,45–59,male,H,no,no,no,0
464,AR,2015,30–44,male,W,no,yes,no,0
465,CO,2015,Under 18,male,W,no,yes,yes,0
466,PA,2015,18–29,male,B,no,yes,no,0
467,OH,2015,45–59,male,W,no,yes,no,0
468,KY,2015,30–44,male,B,no,yes,no,0
486,WY,2015,30–44,female,W,no,yes,yes,0
489,NE,2015,18–29,male,B,no,yes,no,0
469,TX,2015,18–29,male,H,yes,yes,no,0
483,FL,2015,18–29,male,B,no,yes,no,0
484,SC,2015,30–44,male,W,no,yes,no,0
485,NJ,2015,18–29,male,H,yes,yes,no,0
487,SC,2015,30–44,male,B,no,yes,no,0
472,PA,2015,30–44,male,W,no,no,no,0
473,MO,2015,45–59,male,W,no,yes,no,0
474,AZ,2015,30–44,male,W,no,yes,yes,0
529,MI,2015,18–29,male,B,yes,yes,no,0
475,TX,2015,30–44,female,W,yes,yes,no,0
476,AL,2015,30–44,male,B,yes,yes,no,0
477,NY,2015,45–59,male,B,no,yes,no,0
479,LA,2015,18–29,male,W,no,no,no,0
530,WA,2015,60+,male,W,yes,yes,no,0
480,NJ,2015,30–44,male,W,no,yes,no,0
481,OK,2015,18–29,male,W,yes,no,no,0
482,GA,2015,45–59,male,W,yes,yes,no,0
491,CA,2015,18–29,male,O,no,no,no,0
492,CA,2015,30–44,male,W,yes,yes,no,0
488,SC,2015,60+,male,W,no,yes,no,0
490,CO,2015,30–44,male,B,no,yes,no,0
493,GA,2015,30–44,male,B,no,yes,no,0
494,MI,2015,18–29,male,W,no,yes,no,0
497,NJ,2015,30–44,male,B,no,yes,no,0
498,OK,2015,30–44,male,W,no,yes,no,0
499,OR,2015,45–59,male,W,no,yes,no,0
500,AZ,2015,18–29,male,W,no,no,yes,0
501,TN,2015,30–44,male,H,no,no,no,0
503,OR,2015,30–44,male,Unknown,yes,yes,no,0
504,TX,2015,45–59,male,W,no,no,no,1
505,NY,2015,18–29,male,W,yes,yes,yes,0
507,MA,2015,18–29,male,B,no,yes,no,0
508,TX,2015,18–29,male,W,yes,yes,no,0
509,TX,2015,18–29,male,H,yes,yes,yes,0
510,TX,2015,30–44,male,H,no,yes,yes,0
511,NJ,2015,45–59,male,W,yes,yes,no,0
512,CA,2015,45–59,male,H,no,yes,yes,0
513,NM,2015,30–44,male,H,no,no,no,0
520,CA,2015,45–59,male,H,no,yes,no,0
521,WV,2015,45–59,female,W,no,yes,yes,0
515,CA,2015,30–44,male,B,no,yes,no,1
516,FL,2015,45–59,male,W,no,yes,no,0
518,CA,2015,45–59,male,H,no,yes,yes,0
519,TX,2015,30–44,male,W,yes,yes,no,0
522,CO,2015,18–29,male,H,no,yes,yes,0
514,FL,2015,30–44,male,W,no,yes,no,0
517,WA,2015,45–59,male,W,yes,yes,no,0
523,IN,2015,45–59,male,Unknown,yes,yes,no,0
524,CA,2015,30–44,male,H,yes,yes,no,1
526,AZ,2015,60+,male,W,yes,yes,no,0
525,OH,2015,30–44,male,W,no,no,no,0
535,TX,2015,45–59,male,W,no,yes,yes,0
538,OH,2015,18–29,male,B,no,yes,no,0
539,IA,2015,18–29,male,W,no,no,yes,0
540,NY,2015,18–29,male,B,no,yes,no,0
541,FL,2015,30–44,male,B,no,yes,no,0
542,TN,2015,60+,male,Unknown,yes,yes,no,0
543,FL,2015,45–59,male,B,no,no,no,0
544,TX,2015,18–29,male,H,yes,yes,no,0
545,NJ,2015,18–29,male,H,yes,yes,no,0
553,IN,2015,Under 18,female,W,yes,no,no,0
546,IN,2015,45–59,male,W,no,yes,no,0
548,KY,2015,30–44,male,B,no,yes,no,0
549,TX,2015,30–44,male,W,yes,yes,no,0
547,CA,2015,18–29,male,H,no,Unknown,yes,0
551,FL,2015,Under 18,male,W,yes,yes,no,0
550,CA,2015,18–29,male,B,no,no,yes,0
559,CA,2015,18–29,male,H,no,yes,no,0
563,ND,2015,30–44,male,N,no,yes,no,0
557,AL,2015,30–44,female,W,no,yes,yes,0
561,NM,2015,45–59,male,W,yes,yes,no,0
564,NY,2015,45–59,male,W,no,yes,yes,0
558,MA,2015,30–44,male,H,yes,yes,yes,0
560,OH,2015,18–29,male,B,yes,yes,no,0
565,CO,2015,45–59,male,H,no,yes,no,0
582,IL,2015,18–29,male,B,no,yes,yes,0
555,CA,2015,18–29,male,H,yes,no,no,0
556,TX,2015,45–59,male,W,yes,yes,no,0
566,NC,2015,60+,male,W,no,yes,yes,0
570,CA,2015,30–44,male,H,no,yes,no,0
573,GA,2015,18–29,male,W,yes,yes,no,0
576,PA,2015,18–29,male,B,no,yes,yes,0
572,IN,2015,30–44,male,W,no,no,yes,0
574,KS,2015,18–29,male,W,no,yes,no,0
575,TX,2015,45–59,male,W,yes,yes,yes,0
726,NE,2015,30–44,male,W,no,yes,no,0
569,VA,2015,18–29,male,B,no,yes,no,1
567,MD,2015,30–44,male,B,yes,no,no,0
568,CA,2015,60+,male,W,no,yes,no,0
579,NY,2015,45–59,male,W,no,yes,yes,0
583,TX,2015,18–29,male,H,no,yes,yes,0
580,OK,2015,30–44,male,W,no,yes,no,1
577,OR,2015,18–29,male,W,no,no,no,0
585,NY,2015,45–59,male,W,yes,yes,no,0
586,NC,2015,45–59,male,W,no,yes,no,0
587,OR,2015,18–29,male,B,no,Unknown,yes,0
589,OR,2015,30–44,male,W,no,yes,yes,0
588,MA,2015,45–59,male,W,yes,no,no,0
601,CA,2015,60+,male,A,no,yes,no,0
603,FL,2015,18–29,male,B,no,no,yes,0
604,WV,2015,45–59,male,Unknown,yes,yes,no,0
597,CA,2015,18–29,male,H,no,yes,no,0
598,CA,2015,45–59,male,H,no,yes,no,0
599,NJ,2015,30–44,male,H,yes,no,no,0
602,FL,2015,30–44,male,W,no,yes,no,0
591,OK,2015,30–44,male,B,no,yes,yes,0
595,TN,2015,30–44,male,W,no,yes,no,0
596,VA,2015,18–29,male,B,no,yes,yes,0
600,NV,2015,30–44,male,W,no,yes,no,0
592,CA,2015,18–29,male,W,no,no,yes,0
593,TX,2015,30–44,male,W,no,yes,yes,0
594,TX,2015,18–29,male,W,yes,no,no,0
605,CA,2015,30–44,male,H,no,no,no,0
590,OK,2015,18–29,male,W,no,yes,no,0
606,NH,2015,30–44,male,W,yes,yes,no,1
607,CA,2015,30–44,male,H,no,yes,yes,0
610,CA,2015,30–44,male,W,yes,Unknown,yes,0
619,CA,2015,18–29,male,B,no,yes,no,0
608,TX,2015,18–29,male,B,no,yes,no,0
609,AZ,2015,30–44,male,W,no,yes,no,0
611,TX,2015,45–59,male,W,no,yes,no,0
614,CA,2015,45–59,male,H,no,yes,no,0
615,TX,2015,30–44,male,H,yes,yes,no,0
616,NJ,2015,30–44,male,B,no,yes,yes,0
617,MO,2015,30–44,male,W,no,yes,yes,0
618,KY,2015,18–29,male,W,no,yes,no,0
620,OR,2015,45–59,male,W,no,yes,no,0
621,NC,2015,60+,male,W,no,Unknown,yes,1
622,UT,2015,45–59,male,W,no,yes,no,0
623,AZ,2015,60+,male,W,no,yes,yes,0
624,IL,2015,18–29,male,B,no,yes,yes,0
625,CA,2015,Under 18,male,W,yes,yes,no,0
627,CA,2015,30–44,male,W,no,yes,yes,0
634,MO,2015,18–29,male,B,no,yes,no,0
626,NV,2015,45–59,male,W,yes,yes,no,1
630,GA,2015,18–29,male,B,no,yes,no,0
1152,IL,2015,18–29,male,B,no,yes,no,0
637,CA,2015,30–44,male,W,no,yes,no,0
628,CO,2015,30–44,male,N,yes,yes,yes,0
631,FL,2015,30–44,male,B,no,no,no,0
632,TX,2015,60+,male,W,no,yes,yes,0
